id,time,value
sp95,2019-01-06,-0.009025332022042365
sp95,2019-01-13,-0.002723560467040642
sp95,2019-01-20,-0.0027309985112316526
sp95,2019-01-27,-0.004568303970379828
sp95,2019-02-03,0.004568303970379828
sp95,2019-02-10,-9.119927672693318e-4
sp95,2019-02-17,-0.003656311203110496
sp95,2019-02-24,0.005479465764625657
sp95,2019-03-03,9.103323341453362e-4
sp95,2019-03-10,0.006349227678658753
sp95,2019-03-17,0
sp95,2019-03-24,0
sp95,2019-03-31,0.009000960858976115
sp95,2019-04-07,0.014235115821872035
sp95,2019-04-14,0.014906019085627276
sp95,2019-04-21,0.005208345107138246
sp95,2019-04-28,0.003457220383857873
sp95,2019-05-05,0.0060215235706859715
sp95,2019-05-12,0.0025695945616307503
sp95,2019-05-19,0
sp95,2019-05-26,0.005119465106190879
sp95,2019-06-02,0.005939771387784232
sp95,2019-06-09,-0.0102041701742418
sp95,2019-06-16,-0.005141399500418586
sp95,2019-06-23,-0.0017196908795266141
sp95,2019-06-30,0
sp95,2019-07-07,-0.006042314455962705
sp95,2019-07-14,0.006042314455962705
sp95,2019-07-21,0.00600602406021189
sp95,2019-07-28,8.550663197333108e-4
sp95,2019-08-04,-8.550663197333108e-4
sp95,2019-08-11,-0.00686697977417694
sp95,2019-08-18,-0.008650572976008908
sp95,2019-08-25,-0.013117809440785833
sp95,2019-09-01,-0.006181035131434642
sp95,2019-09-08,-0.0017730501098857099
sp95,2019-09-15,8.869180182278225e-4
sp95,2019-09-22,0.00706716722309253
sp95,2019-09-29,-8.80669365593667e-4
sp95,2019-10-06,-8.814456278056215e-4
sp95,2019-10-13,-0.004418920138035354
sp95,2019-10-20,-0.00621947806702039
sp95,2019-10-27,-0.001784121793501403
sp95,2019-11-03,-8.932559772149573e-4
sp95,2019-11-10,-0.0017889092427245679
sp95,2019-11-17,-0.0035874477936558846
sp95,2019-11-24,8.980692116844491e-4
sp95,2019-12-01,0.0017937224540269248
sp95,2019-12-08,8.956561279445108e-4
sp95,2019-12-15,-0.0035874477936558846
sp95,2019-12-22,-8.988764650170733e-4
sp95,2019-12-29,-0.004506542101890942
sp95,2020-01-05,-0.0018083187567836112
sp95,2020-01-12,0.00271125335537592
sp95,2020-01-19,0.011664555764930695
sp95,2020-01-26,0.0035618915663606643
sp95,2020-02-02,-0.004454350349380243
sp95,2020-02-09,-0.00626961301359541
sp95,2020-02-16,-0.004502483968315707
sp95,2020-02-23,-0.010889399799268284
sp95,2020-03-01,-0.003656311203110496
sp95,2020-03-08,-0.0064308903302904286
sp95,2020-03-15,-0.019544596072970266
sp95,2020-03-22,-0.018018505502678306
sp95,2020-03-29,-0.008649741579483061
sp95,2020-04-05,-0.012627656867801929
sp95,2020-04-12,-0.01775194545845027
sp95,2020-04-19,-0.011005613836602146
sp95,2020-04-26,-0.008080852053938603
sp95,2020-05-03,-0.006103782938017832
sp95,2020-05-10,-0.007168489478612594
sp95,2020-05-17,-0.007220247973487082
sp95,2020-05-24,0.0020682530640590557
sp95,2020-05-31,0.005151994909428026
sp95,2020-06-07,0.001027221456530003
sp95,2020-06-14,0.009197816504631473
sp95,2020-06-21,0.00304723445546895
sp95,2020-06-28,0.008080852053938603
sp95,2020-07-05,0
sp95,2020-07-12,-0.0050428750338619155
sp95,2020-07-19,-0.0010116338748443754
sp95,2020-07-26,0.0020222453807677843
sp95,2020-08-02,0
sp95,2020-08-09,0.0020181641562372343
sp95,2020-08-16,-0.003028775662160643
sp95,2020-08-23,-0.00914175995809452
sp95,2020-08-30,0.002038736689848275
sp95,2020-09-06,0
sp95,2020-09-13,0.0030503328176229583
sp95,2020-09-20,-0.007131971137271542
sp95,2020-09-27,0.002042901629800309
sp95,2020-10-04,0.005089069507471233
sp95,2020-10-11,0.0020283982613927276
sp95,2020-10-18,0
sp95,2020-10-25,0
sp95,2020-11-01,-0.006097579868118597
sp95,2020-11-08,0.005083895037272468
sp95,2020-11-15,-0.0010147134305465988
sp95,2020-11-22,0.0020283982613927276
sp95,2020-11-29,0.009077218151116673
sp95,2020-12-06,0.005007521730622355
sp95,2020-12-13,0.001996008646714953
sp95,2020-12-20,0.006954821873369599
sp95,2020-12-27,0.005923018303121974
sp95,2021-01-03,9.837679101328822e-4
sp95,2021-01-10,0.01367208796839997
sp95,2021-01-17,0.02301156189320691
sp95,2021-01-24,0.004728141195945945
sp95,2021-01-31,0.007518832414027399
sp95,2021-02-07,0.012098798119068055
sp95,2021-02-14,0.009208168193862665
sp95,2021-02-21,0.009124150889609106
sp95,2021-02-28,0.022452671976955774
sp95,2021-03-07,0.00619745232837049
sp95,2021-03-14,0.008787402766804342
sp95,2021-03-21,0.006105557562485098
sp95,2021-03-28,0.004338401598598107
sp95,2021-04-04,0.002594035177046594
sp95,2021-04-11,0.003448279278916111
sp95,2021-04-18,0
sp95,2021-04-25,0
sp95,2021-05-02,-0.002585094072104832
sp95,2021-05-09,0.002585094072104832
sp95,2021-05-16,0.00600602406021189
sp95,2021-05-23,0
sp95,2021-05-30,0.0017094021256488512
sp95,2021-06-06,0.01019550038066952
sp95,2021-06-13,0
sp95,2021-06-20,0
sp95,2021-06-27,0.004217635944203435
sp95,2021-07-04,0.010883322157393294
sp95,2021-07-11,0.008291921473108754
sp95,2021-07-18,0.005763704716750029
sp95,2021-07-25,-0.00411353932579217
sp95,2021-08-01,-0.0024762703532633656
sp95,2021-08-08,0.005768454396740452
sp95,2021-08-15,-0.00246812136808372
sp95,2021-08-22,0.0016460909066687845
sp95,2021-08-29,0.004103411584592376
sp95,2021-09-05,-0.008223730557612385
sp95,2021-09-12,-0.005797117684325892
sp95,2021-09-19,0.0033167526259938462
sp95,2021-09-26,0.002480365058332046
sp95,2021-10-03,0.009042396178448375
sp95,2021-10-10,0.0032679767646159874
sp95,2021-10-17,0.016181582851241827
sp95,2021-10-24,0.01750243564977272
sp95,2021-10-31,0.0031496089028962837
sp95,2021-11-07,0.0015710922320412157
sp95,2021-11-14,0
