time,canton,category,value
2018-06-10,ag,car_purchase,0.10987246365693683
2018-06-17,ag,car_purchase,0.07529831997238311
2018-06-24,ag,car_purchase,0.06874640405047754
2018-07-01,ag,car_purchase,0.0904602815388746
2018-07-08,ag,car_purchase,0.09421119251275364
2018-07-15,ag,car_purchase,0.08653887461163744
2018-07-22,ag,car_purchase,0.0947470369375935
2018-07-29,ag,car_purchase,0.07289919834298646
2018-08-05,ag,car_purchase,0.07504257604234589
2018-08-12,ag,car_purchase,0.08007220666641096
2018-08-19,ag,car_purchase,0.09149543554140616
2018-08-26,ag,car_purchase,0.07528614169000038
2018-09-02,ag,car_purchase,0.05740842315216141
2018-09-09,ag,car_purchase,0.06967195351156458
2018-09-16,ag,car_purchase,0.0740804917341107
2018-09-23,ag,car_purchase,0.08578382110390854
2018-09-30,ag,car_purchase,0.06431350926316597
2018-10-07,ag,car_purchase,0.08094904299796708
2018-10-14,ag,car_purchase,0.11359901806605041
2018-10-21,ag,car_purchase,0.08711125388362549
2018-10-28,ag,car_purchase,0.05930823520386637
2018-11-04,ag,car_purchase,0.08081508189175712
2018-11-11,ag,car_purchase,0.07767308503701431
2018-11-18,ag,car_purchase,0.09667120555406392
2018-11-25,ag,car_purchase,0.07931715315868205
2018-12-02,ag,car_purchase,0.07137691304514594
2018-12-09,ag,car_purchase,0.06287647194200453
2018-12-16,ag,car_purchase,0.09622060910590312
2018-12-23,ag,car_purchase,0.0848460933604388
2018-12-30,ag,car_purchase,0.049102834567143566
2019-01-06,ag,car_purchase,0.07893962640481762
2019-01-13,ag,car_purchase,0.08607609988109395
2019-01-20,ag,car_purchase,0.09407723140654366
2019-01-27,ag,car_purchase,0.06745550611790879
2019-02-03,ag,car_purchase,0.09405287484177823
2019-02-10,ag,car_purchase,0.10676700164934218
2019-02-17,ag,car_purchase,0.08136310459897972
2019-02-24,ag,car_purchase,0.09277415519159218
2019-03-03,ag,car_purchase,0.07808714663802693
2019-03-10,ag,car_purchase,0.0988389398181888
2019-03-17,ag,car_purchase,0.12186807180392006
2019-03-24,ag,car_purchase,0.13271892140692723
2019-03-31,ag,car_purchase,0.07108463426796056
2019-04-07,ag,car_purchase,0.08278796363775842
2019-04-14,ag,car_purchase,0.11926191937401712
2019-04-21,ag,car_purchase,0.1120889110505926
2019-04-28,ag,car_purchase,0.09564822983391508
2019-05-05,ag,car_purchase,0.10534214261056347
2019-05-12,ag,car_purchase,0.13030762149514788
2019-05-19,ag,car_purchase,0.11610774423689157
2019-05-26,ag,car_purchase,0.12676374132177515
2019-06-02,ag,car_purchase,0.09914339687775689
2019-06-09,ag,car_purchase,0.11850686586628822
2019-06-16,ag,car_purchase,0.11706982854512676
2019-06-23,ag,car_purchase,0.06587232940815466
2019-06-30,ag,car_purchase,0.09123969161136897
2019-07-07,ag,car_purchase,0.11540140385869356
2019-07-14,ag,car_purchase,0.11028652525794945
2019-07-21,ag,car_purchase,0.1085450308772199
2019-07-28,ag,car_purchase,0.09989845038548577
2019-08-04,ag,car_purchase,0.062121418434275634
2019-08-11,ag,car_purchase,0.11342852211269226
2019-08-18,ag,car_purchase,0.13332783552606345
2019-08-25,ag,car_purchase,0.09577001265774232
2019-09-01,ag,car_purchase,0.10675482336695948
2019-09-08,ag,car_purchase,0.07750258908365616
2019-09-15,ag,car_purchase,0.10190786697863528
2019-09-22,ag,car_purchase,0.08399361359364811
2019-09-29,ag,car_purchase,0.07919537033485481
2019-10-06,ag,car_purchase,0.09974013271451038
2019-10-13,ag,car_purchase,0.08756185033178628
2019-10-20,ag,car_purchase,0.06931878332246558
2019-10-27,ag,car_purchase,0.09499060258524798
2019-11-03,ag,car_purchase,0.10002023320931305
2019-11-10,ag,car_purchase,0.08479738023090791
2019-11-17,ag,car_purchase,0.0679669939779832
2019-11-24,ag,car_purchase,0.09647635303594032
2019-12-01,ag,car_purchase,0.10301609067546315
2019-12-08,ag,car_purchase,0.0920191016838633
2019-12-15,ag,car_purchase,0.07157176556326954
2019-12-22,ag,car_purchase,0.07258256300103563
2019-12-29,ag,car_purchase,0.0992530014192014
2020-01-05,ag,car_purchase,0.09007057650262744
2020-01-12,ag,car_purchase,0.0973775459322619
2020-01-19,ag,car_purchase,0.06521470215948755
2020-01-26,ag,car_purchase,0.07471376241801235
2020-02-02,ag,car_purchase,0.0977307161213609
2020-02-09,ag,car_purchase,0.11899399716159717
2020-02-16,ag,car_purchase,0.10903216217252887
2020-02-23,ag,car_purchase,0.09812042115760808
2020-03-01,ag,car_purchase,0.0756027770319512
2020-03-08,ag,car_purchase,0.046654999808216024
2020-03-15,ag,car_purchase,0.025586571286103338
2020-03-22,ag,car_purchase,0.03586504161712247
